"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a8",0,3.91949397150519,0.997,0.357,0,"Neutrophils","S100a8"
"S100a9",0,3.89779671613302,0.998,0.461,0,"Neutrophils","S100a9"
"Retnlg",0,3.34442664831438,0.938,0.09,0,"Neutrophils","Retnlg"
"Il1b",0,2.88382824020152,0.994,0.166,0,"Neutrophils","Il1b"
"Csf3r",0,2.80888201815851,0.996,0.166,0,"Neutrophils","Csf3r"
"Slpi",0,2.72598965559762,0.965,0.113,0,"Neutrophils","Slpi"
"Cxcr2",0,2.70569197960306,0.994,0.071,0,"Neutrophils","Cxcr2"
"Dusp1",0,2.6805417065304,0.994,0.281,0,"Neutrophils","Dusp1"
"Mmp9",0,2.66095160167744,0.974,0.068,0,"Neutrophils","Mmp9"
"Msrb1",0,2.60496262843596,0.998,0.289,0,"Neutrophils","Msrb1"
"Ifitm1",0,2.57489256178582,0.824,0.107,0,"Neutrophils","Ifitm1"
"S100a11",0,2.55674587858794,0.999,0.67,0,"Neutrophils","S100a11"
"Hp",0,2.48082008586911,0.969,0.118,0,"Neutrophils","Hp"
"Hdc",0,2.41246096114589,0.965,0.069,0,"Neutrophils","Hdc"
"Wfdc17",0,2.36030106334928,0.694,0.146,0,"Neutrophils","Wfdc17"
"Tnfaip2",0,2.3419272115999,0.961,0.108,0,"Neutrophils","Tnfaip2"
"Mxd1",0,2.31653936606218,0.969,0.256,0,"Neutrophils","Mxd1"
"Lcn2",0,2.3144405106277,0.686,0.045,0,"Neutrophils","Lcn2"
"Fos",0,2.24587200737569,0.965,0.221,0,"Neutrophils","Fos"
"Lrg1",0,2.23990123612916,0.783,0.046,0,"Neutrophils","Lrg1"
"Ccl6",0,2.20663217453504,0.934,0.153,0,"Neutrophils","Ccl6"
"Wfdc21",0,2.19992712001162,0.707,0.037,0,"Neutrophils","Wfdc21"
"Ifitm2",0,2.16870597449527,0.971,0.163,0,"Neutrophils","Ifitm2"
"Grina",0,2.14838481433258,0.98,0.325,0,"Neutrophils","Grina"
"Gsr",0,2.11287034358102,0.971,0.218,0,"Neutrophils","Gsr"
"Marcks",0,2.10674930860779,0.941,0.158,0,"Neutrophils","Marcks"
"Gda",0,2.10237034971797,0.918,0.122,0,"Neutrophils","Gda"
"Rnf149",0,2.04883132693043,0.966,0.249,0,"Neutrophils","Rnf149"
"Cebpd",0,2.04326848893256,0.893,0.097,0,"Neutrophils","Cebpd"
"Lst1",0,2.01360349036074,0.953,0.151,0,"Neutrophils","Lst1"
"S100a6",0,2.01241784940708,0.988,0.489,0,"Neutrophils","S100a6"
"Clec4d",0,2.00907200106922,0.905,0.069,0,"Neutrophils","Clec4d"
"Cebpb",0,1.98572830005737,0.987,0.289,0,"Neutrophils","Cebpb"
"Nfam1",0,1.98516866310727,0.961,0.179,0,"Neutrophils","Nfam1"
"Txn1",0,1.98148709682168,0.983,0.596,0,"Neutrophils","Txn1"
"Gcnt2",0,1.93275875102827,0.879,0.086,0,"Neutrophils","Gcnt2"
"Alox5ap",0,1.92630499321665,0.979,0.158,0,"Neutrophils","Alox5ap"
"Ccr1",0,1.92318248588538,0.862,0.065,0,"Neutrophils","Ccr1"
"Jaml",0,1.90232979597476,0.849,0.111,0,"Neutrophils","Jaml"
"Junb",0,1.9018373166111,0.996,0.772,0,"Neutrophils","Junb"
"H2-Q10",0,1.89296990767369,0.788,0.122,0,"Neutrophils","H2-Q10"
"Pla2g7",0,1.87502991141193,0.884,0.096,0,"Neutrophils","Pla2g7"
"Tpd52",0,1.86425083870156,0.95,0.298,0,"Neutrophils","Tpd52"
"Pglyrp1",0,1.86116736464002,0.935,0.359,0,"Neutrophils","Pglyrp1"
"Taldo1",0,1.84664957993404,0.995,0.618,0,"Neutrophils","Taldo1"
"Pygl",0,1.84601526066121,0.89,0.105,0,"Neutrophils","Pygl"
"Neat1",0,1.83519195815189,0.979,0.616,0,"Neutrophils","Neat1"
"Mcemp1",0,1.8158996381036,0.812,0.083,0,"Neutrophils","Mcemp1"
"Cd300ld",0,1.81028691262944,0.847,0.089,0,"Neutrophils","Cd300ld"
"Spi1",0,1.80699707173229,0.969,0.239,0,"Neutrophils","Spi1"
"Sorl1",0,1.79892004472361,0.986,0.53,0,"Neutrophils","Sorl1"
"Fgl2",0,1.76736221580135,0.921,0.309,0,"Neutrophils","Fgl2"
