"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"1","Blood_Cranio_scRNAseq",4954,1344,0.524828421477594,"0","0","Neutrophils"
"2","Blood_Cranio_scRNAseq",4160,1372,0.288461538461538,"0","0","Neutrophils"
"3","Blood_Cranio_scRNAseq",3456,1287,0.636574074074074,"0","0","Neutrophils"
"4","Blood_Cranio_scRNAseq",3729,1254,0.589970501474926,"0","0","Neutrophils"
"5","Blood_Cranio_scRNAseq",3572,1291,0.363941769316909,"0","0","Neutrophils"
"6","Blood_Cranio_scRNAseq",4120,1409,0.558252427184466,"0","0","Neutrophils"
"7","Blood_Cranio_scRNAseq",2476,1068,0.403877221324717,"0","0","Neutrophils"
"8","Blood_Cranio_scRNAseq",2618,1150,0.458365164247517,"0","0","Neutrophils"
"9","Blood_Cranio_scRNAseq",3559,1606,0.95532452936218,"0","0","Neutrophils"
"10","Blood_Cranio_scRNAseq",3258,1224,0.460405156537753,"0","0","Neutrophils"
"11","Blood_Cranio_scRNAseq",3663,1309,0.136500136500137,"0","0","Neutrophils"
"12","Blood_Cranio_scRNAseq",3158,1314,0.443318556048132,"0","0","Neutrophils"
"13","Blood_Cranio_scRNAseq",2584,1086,0.464396284829721,"0","0","Neutrophils"
"14","Blood_Cranio_scRNAseq",3943,1482,0.507227998985544,"0","0","Neutrophils"
"15","Blood_Cranio_scRNAseq",3467,1417,0.432650706662821,"0","0","Neutrophils"
"16","Blood_Cranio_scRNAseq",4047,1534,0.172967630343464,"0","0","Neutrophils"
"17","Blood_Cranio_scRNAseq",2634,1105,0.531511009870919,"0","0","Neutrophils"
"18","Blood_Cranio_scRNAseq",4995,1355,0.820820820820821,"0","0","Neutrophils"
"19","Blood_Cranio_scRNAseq",2467,1044,0.486420753952169,"0","0","Neutrophils"
"20","Blood_Cranio_scRNAseq",3857,1395,0.233341975628727,"0","0","Neutrophils"
"21","Blood_Cranio_scRNAseq",3327,1177,0.240456868049294,"0","0","Neutrophils"
"22","Blood_Cranio_scRNAseq",2286,1071,0.918635170603675,"0","0","Neutrophils"
"23","Blood_Cranio_scRNAseq",3614,1208,0.166021029330382,"0","0","Neutrophils"
"24","Blood_Cranio_scRNAseq",3481,1240,0.0287273771904625,"0","0","Neutrophils"
"25","Blood_Cranio_scRNAseq",2617,1171,0.382116927779901,"0","0","Neutrophils"
"26","Blood_Cranio_scRNAseq",3292,1166,0.121506682867558,"0","0","Neutrophils"
