"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a8",0,3.51440814945686,0.985,0.363,0,"0","S100a8"
"S100a9",0,3.46570828593114,0.982,0.468,0,"0","S100a9"
"Retnlg",0,3.08062242020763,0.915,0.1,0,"0","Retnlg"
"Il1b",0,2.71856469496886,0.972,0.176,0,"0","Il1b"
"Csf3r",0,2.69764072881906,0.977,0.175,0,"0","Csf3r"
"Cxcr2",0,2.5930305240254,0.972,0.081,0,"0","Cxcr2"
"Slpi",0,2.55250018597814,0.943,0.122,0,"0","Slpi"
"Dusp1",0,2.55114740537348,0.977,0.289,0,"0","Dusp1"
"Mmp9",0,2.52489926037583,0.953,0.078,0,"0","Mmp9"
"Msrb1",0,2.46751136730629,0.978,0.297,0,"0","Msrb1"
"S100a11",0,2.43326461699276,0.992,0.674,0,"0","S100a11"
"Ifitm1",0,2.4089242524658,0.802,0.116,0,"0","Ifitm1"
"Hp",0,2.35461097595931,0.949,0.127,0,"0","Hp"
"Hdc",0,2.31493794540792,0.944,0.078,0,"0","Hdc"
"Tnfaip2",0,2.24698850205099,0.94,0.117,0,"0","Tnfaip2"
"Mxd1",0,2.20050816426694,0.95,0.265,0,"0","Mxd1"
"Lcn2",0,2.19529414137912,0.668,0.053,0,"0","Lcn2"
"Fos",0,2.16468918647923,0.95,0.228,0,"0","Fos"
"Lrg1",0,2.12592442248926,0.764,0.054,0,"0","Lrg1"
"Wfdc21",0,2.11532000746871,0.687,0.046,0,"0","Wfdc21"
"Ccl6",0,2.08553577041917,0.911,0.163,0,"0","Ccl6"
"Grina",0,2.06660452658842,0.964,0.333,0,"0","Grina"
"Ifitm2",0,2.0621019454058,0.947,0.174,0,"0","Ifitm2"
"Marcks",0,2.03133841419944,0.923,0.166,0,"0","Marcks"
"Gda",0,2.02682446559015,0.897,0.131,0,"0","Gda"
"Gsr",0,2.02328577508904,0.953,0.226,0,"0","Gsr"
"Cebpd",0,1.9735254914016,0.874,0.106,0,"0","Cebpd"
"Rnf149",0,1.95579944529675,0.948,0.257,0,"0","Rnf149"
"Lst1",0,1.9543426864153,0.933,0.16,0,"0","Lst1"
"S100a6",0,1.92181388533838,0.969,0.496,0,"0","S100a6"
"Nfam1",0,1.91377418615965,0.944,0.187,0,"0","Nfam1"
"Cebpb",0,1.90036066224349,0.971,0.297,0,"0","Cebpb"
"Clec4d",0,1.89929708511584,0.882,0.079,0,"0","Clec4d"
"Txn1",0,1.88743276434555,0.972,0.601,0,"0","Txn1"
"Ccr1",0,1.86380466002943,0.841,0.074,0,"0","Ccr1"
"Jaml",0,1.85266225868299,0.834,0.118,0,"0","Jaml"
"Gcnt2",0,1.85224105047876,0.86,0.095,0,"0","Gcnt2"
"H2-Q10",0,1.8489439879709,0.771,0.129,0,"0","H2-Q10"
"Alox5ap",0,1.84428532384828,0.962,0.167,0,"0","Alox5ap"
"Junb",0,1.83361756221096,0.994,0.774,0,"0","Junb"
"Pla2g7",0,1.80732897899741,0.864,0.105,0,"0","Pla2g7"
"Tpd52",0,1.80567919403653,0.939,0.304,0,"0","Tpd52"
"Pglyrp1",0,1.80258980745159,0.918,0.367,0,"0","Pglyrp1"
"Pygl",0,1.78904697627852,0.87,0.114,0,"0","Pygl"
"Neat1",0,1.7800632348046,0.972,0.62,0,"0","Neat1"
"Taldo1",0,1.77308209668459,0.988,0.621,0,"0","Taldo1"
"Cd300ld",0,1.77079160917096,0.833,0.096,0,"0","Cd300ld"
"Mcemp1",0,1.75444998007108,0.793,0.091,0,"0","Mcemp1"
"Sorl1",0,1.75146780553381,0.978,0.534,0,"0","Sorl1"
"Spi1",0,1.73612069423659,0.956,0.246,0,"0","Spi1"
"Fgl2",0,1.71663049068453,0.903,0.316,0,"0","Fgl2"
"Slc40a1",0,1.69395756896183,0.744,0.042,0,"0","Slc40a1"
"Ncf2",0,1.67876449427836,0.915,0.254,0,"0","Ncf2"
"Cd44",0,1.6729643814514,0.946,0.424,0,"0","Cd44"
"Oasl2",0,1.6635335512658,0.717,0.131,0,"0","Oasl2"
"Hist1h2bc",0,1.66346407171084,0.702,0.09,0,"0","Hist1h2bc"
"Slfn4",0,1.65984403660417,0.646,0.087,0,"0","Slfn4"
"Zfp36",0,1.64397230500889,0.962,0.514,0,"0","Zfp36"
"Cd33",0,1.6337388825675,0.733,0.053,0,"0","Cd33"
"Pilra",0,1.61189826452467,0.791,0.088,0,"0","Pilra"
"Cd300lf",0,1.59798440880113,0.789,0.102,0,"0","Cd300lf"
"Rgs2",0,1.58564672592989,0.882,0.285,0,"0","Rgs2"
"Mmp8",0,1.57858534512815,0.577,0.049,0,"0","Mmp8"
"Tyrobp",0,1.56738198180454,0.981,0.528,0,"0","Tyrobp"
"Adipor1",0,1.54204174508086,0.898,0.39,0,"0","Adipor1"
"Igf1r",0,1.54128987976513,0.753,0.098,0,"0","Igf1r"
"Srgn",0,1.52849920984266,0.995,0.848,0,"0","Srgn"
"C5ar1",0,1.51495523247171,0.729,0.06,0,"0","C5ar1"
"Anxa1",0,1.50323917299816,0.731,0.24,0,"0","Anxa1"
"Fgr",0,1.49315768214176,0.827,0.168,0,"0","Fgr"
"Trim30b",0,1.48420747008996,0.773,0.129,0,"0","Trim30b"
"Slc16a3",0,1.48329483272373,0.702,0.091,0,"0","Slc16a3"
"Pirb",0,1.47957338205254,0.831,0.176,0,"0","Pirb"
"Cdk2ap2",0,1.4723308310549,0.826,0.619,0,"0","Cdk2ap2"
"Tgfbi",0,1.45733064672093,0.808,0.118,0,"0","Tgfbi"
"Tmcc1",0,1.45185813532077,0.836,0.339,0,"0","Tmcc1"
"Myadm",0,1.44546046272044,0.789,0.23,0,"0","Myadm"
"Mcl1",0,1.4441108770063,0.996,0.844,0,"0","Mcl1"
"Rab11fip1",0,1.43440614089139,0.695,0.112,0,"0","Rab11fip1"
"Ftl1",0,1.42299196892117,0.998,0.902,0,"0","Ftl1"
"Gpcpd1",0,1.41570434561176,0.864,0.361,0,"0","Gpcpd1"
"Pbx1",0,1.40738198180981,0.631,0.076,0,"0","Pbx1"
"2310001H17Rik",0,1.40532376386961,0.781,0.241,0,"0","2310001H17Rik"
"Fcgr3",0,1.40330311663002,0.81,0.191,0,"0","Fcgr3"
"Fxyd5",0,1.40278837132051,0.995,0.779,0,"0","Fxyd5"
"Lyst",0,1.40258389081669,0.854,0.348,0,"0","Lyst"
"Ogfrl1",0,1.39701529128365,0.658,0.12,0,"0","Ogfrl1"
"Socs3",0,1.38123088422774,0.654,0.153,0,"0","Socs3"
"Arg2",0,1.37558954527065,0.642,0.043,0,"0","Arg2"
"Il1f9",0,1.37328168799245,0.568,0.029,0,"0","Il1f9"
"Fosl2",0,1.36688611371303,0.707,0.144,0,"0","Fosl2"
"Cpd",0,1.35437040616316,0.627,0.062,0,"0","Cpd"
"Pira2",0,1.35223601127993,0.67,0.097,0,"0","Pira2"
"Litaf",0,1.34615195453824,0.736,0.161,0,"0","Litaf"
"Nudt4",0,1.34597000124117,0.732,0.235,0,"0","Nudt4"
"Adam8",0,1.34099477878957,0.662,0.074,0,"0","Adam8"
"Btg2",0,1.33639614578446,0.935,0.683,0,"0","Btg2"
"Tnfrsf1a",0,1.32914722043772,0.759,0.216,0,"0","Tnfrsf1a"
"Slfn1",0,1.32439472923531,0.788,0.276,0,"0","Slfn1"
"Map1lc3b",0,1.30910516707473,0.953,0.639,0,"0","Map1lc3b"
"Csf2rb",0,1.30753899805891,0.72,0.122,0,"0","Csf2rb"
"Picalm",0,1.30612993491984,0.896,0.509,0,"0","Picalm"
"Il1r2",0,1.30475975023547,0.555,0.037,0,"0","Il1r2"
"Lmnb1",0,1.29869419009108,0.743,0.205,0,"0","Lmnb1"
"Sirpb1b",0,1.28865551579247,0.605,0.071,0,"0","Sirpb1b"
"Lcp1",0,1.28860572654288,0.995,0.848,0,"0","Lcp1"
"Arrdc3",0,1.2810669822919,0.643,0.147,0,"0","Arrdc3"
"Trpm2",0,1.27045155354153,0.592,0.051,0,"0","Trpm2"
"Cd300lb",0,1.26536682878,0.611,0.069,0,"0","Cd300lb"
"Cd300a",0,1.2567241938555,0.727,0.122,0,"0","Cd300a"
"Sbno2",0,1.25152992119591,0.77,0.319,0,"0","Sbno2"
"Igsf6",0,1.24856305869364,0.67,0.107,0,"0","Igsf6"
"Gm5150",0,1.24437277313526,0.572,0.063,0,"0","Gm5150"
"Trem3",0,1.2370531534188,0.592,0.058,0,"0","Trem3"
"Cyp4f18",0,1.23429212305965,0.772,0.234,0,"0","Cyp4f18"
"Zyx",0,1.23420385794533,0.934,0.551,0,"0","Zyx"
"Emilin2",0,1.22979629070993,0.733,0.144,0,"0","Emilin2"
"Nlrp12",0,1.22790006838721,0.547,0.027,0,"0","Nlrp12"
"Dhrs7",0,1.21625171629662,0.681,0.255,0,"0","Dhrs7"
"Mrpl33",0,1.2141398247518,0.918,0.604,0,"0","Mrpl33"
"Kdm6b",0,1.21366414418,0.785,0.301,0,"0","Kdm6b"
"2810474O19Rik",0,1.20913563364042,0.857,0.573,0,"0","2810474O19Rik"
"Iqgap1",0,1.20072669112944,0.987,0.855,0,"0","Iqgap1"
"Snap23",0,1.16328435265209,0.675,0.202,0,"0","Snap23"
"Lsp1",0,1.15957767018688,0.989,0.826,0,"0","Lsp1"
"Pgd",0,1.15716657483634,0.702,0.26,0,"0","Pgd"
"Dennd4a",0,1.1520550274178,0.893,0.544,0,"0","Dennd4a"
"Hmgb2",0,1.15196360017948,0.95,0.676,0,"0","Hmgb2"
"Prdx5",0,1.14820071490734,0.887,0.51,0,"0","Prdx5"
"Rassf3",0,1.13685581136012,0.738,0.314,0,"0","Rassf3"
"Stk17b",0,1.13009239820051,0.984,0.823,0,"0","Stk17b"
"Ndel1",0,1.11373504892968,0.684,0.286,0,"0","Ndel1"
"Anxa2",0,1.11016335102427,0.937,0.468,0,"0","Anxa2"
"Pxn",0,1.0976860065648,0.714,0.29,0,"0","Pxn"
"Selplg",0,1.06293260439054,0.973,0.716,0,"0","Selplg"
"Atp6v1g1",0,1.05772470435419,0.831,0.546,0,"0","Atp6v1g1"
"Atg3",0,1.05300076505503,0.697,0.352,0,"0","Atg3"
"Ifitm3",0,1.0494104697111,0.873,0.177,0,"0","Ifitm3"
"Gabarap",0,1.04169190291415,0.941,0.734,0,"0","Gabarap"
"Ssh2",0,1.01555473527364,0.896,0.648,0,"0","Ssh2"
"Gmfg",0,1.01266944474046,0.958,0.769,0,"0","Gmfg"
"Fam32a",0,1.00468320362224,0.742,0.47,0,"0","Fam32a"
"Gpsm3",0,0.972526245465288,0.864,0.624,0,"0","Gpsm3"
"Gnai2",0,0.928609803146903,0.976,0.879,0,"0","Gnai2"
"Tmsb4x",0,0.717309037484395,0.999,0.997,0,"0","Tmsb4x"
"Fth1",0,0.659792473523088,0.995,0.946,0,"0","Fth1"
"Rps25",0,-0.860216367228186,0.844,0.941,0,"0","Rps25"
"Rpl41",0,-0.904407010683621,0.973,0.966,0,"0","Rpl41"
"Rps27",0,-0.962345121859453,0.995,0.98,0,"0","Rps27"
"Rpl17",0,-0.988540438763657,0.944,0.966,0,"0","Rpl17"
"Rpl27",0,-1.01380855427952,0.559,0.905,0,"0","Rpl27"
"Snrpg",0,-1.03545667477704,0.111,0.755,0,"0","Snrpg"
"Selenow",0,-1.06861113009814,0.055,0.719,0,"0","Selenow"
"Eef2",0,-1.07703714626697,0.523,0.918,0,"0","Eef2"
"Snrpf",0,-1.10352775460541,0.046,0.705,0,"0","Snrpf"
"Rpl29",0,-1.1067055612389,0.53,0.903,0,"0","Rpl29"
"Rpl9",0,-1.12284954871277,0.884,0.958,0,"0","Rpl9"
"Rpl24",0,-1.16352632223463,0.664,0.938,0,"0","Rpl24"
"Hspe1",0,-1.17061977453106,0.088,0.739,0,"0","Hspe1"
"Ifi203",0,-1.17538147312791,0.072,0.725,0,"0","Ifi203"
"Mbnl1",0,-1.18144682178041,0.325,0.899,0,"0","Mbnl1"
"Eef1g",0,-1.19367031486513,0.226,0.845,0,"0","Eef1g"
"Tpt1",0,-1.19816865074292,0.988,0.991,0,"0","Tpt1"
"Rpl18a",0,-1.20602661409577,0.926,0.967,0,"0","Rpl18a"
"Gimap1",0,-1.21434838717007,0.046,0.696,0,"0","Gimap1"
"Rpl31",0,-1.22692190952519,0.318,0.889,0,"0","Rpl31"
"Rpl7a",0,-1.23333128925123,0.453,0.908,0,"0","Rpl7a"
"Rpl13a",0,-1.23844112820337,0.202,0.844,0,"0","Rpl13a"
"mt-Nd5",0,-1.24178611026697,0.134,0.824,0,"0","mt-Nd5"
"Gimap6",0,-1.24384558321391,0.106,0.757,0,"0","Gimap6"
"Rps10",0,-1.24555538266173,0.91,0.965,0,"0","Rps10"
"Ablim1",0,-1.26108190191171,0.09,0.752,0,"0","Ablim1"
"Rpl30",0,-1.26386462660913,0.904,0.968,0,"0","Rpl30"
"Rpl36al",0,-1.28486580137059,0.103,0.808,0,"0","Rpl36al"
