"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps24",7.81862984108382e-249,-2.5379859838439,0.419,0.758,1.03385742388651e-244,"Neutrophils","Rps24"
"Rpl13",1.72046386457295e-210,-2.54065395380548,0.397,0.805,2.27496936812481e-206,"Neutrophils","Rpl13"
"Rps4x",3.18766804530391e-194,-2.77722151356125,0.121,0.672,4.21505345630536e-190,"Neutrophils","Rps4x"
"Rps15a",9.87296991330974e-185,-2.39618965950206,0.363,0.797,1.30550281163695e-180,"Neutrophils","Rps15a"
"Rplp0",1.18219113458416e-177,-2.1328695640654,0.417,0.789,1.56321133726064e-173,"Neutrophils","Rplp0"
"Rpl32",1.69845492324259e-175,-2.53004284836714,0.265,0.781,2.24586694500367e-171,"Neutrophils","Rpl32"
"Rps23",2.2463614734925e-173,-2.06404537785243,0.431,0.727,2.97036377639913e-169,"Neutrophils","Rps23"
"Rpsa",4.642949927647e-171,-2.6768285791422,0.189,0.766,6.13937268932762e-167,"Neutrophils","Rpsa"
"Rpl11",8.20489498769735e-171,-2.21375611233798,0.303,0.734,1.08493326422322e-166,"Neutrophils","Rpl11"
"Rpl28",5.13717289025686e-168,-2.03726755495388,0.428,0.711,6.79288371278664e-164,"Neutrophils","Rpl28"
"Rps7",3.37154137111889e-167,-2.06758673600719,0.346,0.695,4.45818915503051e-163,"Neutrophils","Rps7"
"Rpl15",1.25403361784841e-166,-2.29467478590812,0.22,0.68,1.65820865288096e-162,"Neutrophils","Rpl15"
"Rps2",1.27609679502489e-162,-2.16830937106811,0.408,0.781,1.68738279206141e-158,"Neutrophils","Rps2"
"Rpl19",6.23268725875009e-161,-2.09684063490353,0.472,0.805,8.24148236224525e-157,"Neutrophils","Rpl19"
"Rack1",1.20570882570845e-159,-2.12908002241735,0.204,0.68,1.59430878023428e-155,"Neutrophils","Rack1"
"mt-Co2",7.53289705264573e-155,-1.97726153510071,0.548,0.719,9.96074977271345e-151,"Neutrophils","mt-Co2"
"Rpl34",1.16848757311653e-154,-1.82997860143114,0.541,0.773,1.54509111793199e-150,"Neutrophils","Rpl34"
"Rpl7",4.15514279570473e-152,-1.98247039021005,0.306,0.664,5.49434531876036e-148,"Neutrophils","Rpl7"
"mt-Atp6",2.85736014258984e-150,-2.11155900676659,0.494,0.727,3.77828731654654e-146,"Neutrophils","mt-Atp6"
"Rps11",2.99880703402262e-150,-2.08105280191403,0.397,0.773,3.96532254108811e-146,"Neutrophils","Rps11"
"Rps3",3.32588921731623e-150,-1.80875719648302,0.513,0.727,4.39782331205725e-146,"Neutrophils","Rps3"
"Rpl27a",4.28520733561608e-149,-1.91254965035278,0.586,0.844,5.66632965988514e-145,"Neutrophils","Rpl27a"
"Rps20",1.00663400893594e-146,-2.39999325023502,0.293,0.797,1.33107215001599e-142,"Neutrophils","Rps20"
"Rplp1",3.77499365291538e-146,-1.81854802242488,0.646,0.789,4.99167410725001e-142,"Neutrophils","Rplp1"
"Rps18",5.73337627182891e-145,-2.57255685530908,0.15,0.711,7.58124344423936e-141,"Neutrophils","Rps18"
"Rps8",3.1924824892937e-144,-2.22360389360653,0.443,0.836,4.22141959559306e-140,"Neutrophils","Rps8"
"Rps3a1",1.14231638500062e-141,-2.11068946227466,0.411,0.773,1.51048495588633e-137,"Neutrophils","Rps3a1"
"mt-Co3",1.2246278337393e-141,-1.98844960197761,0.554,0.719,1.61932538455348e-137,"Neutrophils","mt-Co3"
"Rps12",3.71858197293641e-141,-1.77433270102315,0.646,0.789,4.91708094281382e-137,"Neutrophils","Rps12"
"Rps10",6.33487210044977e-137,-1.74904325507778,0.603,0.773,8.37660137842473e-133,"Neutrophils","Rps10"
"Rps5",4.3853389638877e-136,-2.12050783805577,0.346,0.773,5.7987337119487e-132,"Neutrophils","Rps5"
"Rpl30",4.62431699706064e-135,-1.83784986051413,0.498,0.781,6.11473436521328e-131,"Neutrophils","Rpl30"
"Rps14",1.26155659756396e-133,-1.71594609497362,0.586,0.75,1.66815628895883e-129,"Neutrophils","Rps14"
