"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"1","BoneFlap_Cranio_scRNAseq",1344,509,0.0744047619047619,"0","0","Neutrophils"
"2","BoneFlap_Cranio_scRNAseq",5209,1074,0.0191975427145325,"0","0","Neutrophils"
"3","BoneFlap_Cranio_scRNAseq",5436,1341,0.0551876379690949,"0","0","Neutrophils"
"4","BoneFlap_Cranio_scRNAseq",1678,720,0.178784266984505,"0","0","Neutrophils"
"5","BoneFlap_Cranio_scRNAseq",1074,520,0,"0","0","Neutrophils"
"6","BoneFlap_Cranio_scRNAseq",4035,761,0,"0","0","Neutrophils"
"7","BoneFlap_Cranio_scRNAseq",3917,1281,0,"0","0","Neutrophils"
"8","BoneFlap_Cranio_scRNAseq",3378,1037,0.088809946714032,"0","0","Neutrophils"
"9","BoneFlap_Cranio_scRNAseq",3081,830,0.162284972411555,"0","0","Neutrophils"
"10","BoneFlap_Cranio_scRNAseq",7263,1446,0.30290513561889,"0","0","Neutrophils"
"11","BoneFlap_Cranio_scRNAseq",1925,713,0,"0","0","Neutrophils"
"12","BoneFlap_Cranio_scRNAseq",6485,1289,0.123361603700848,"0","0","Neutrophils"
"13","BoneFlap_Cranio_scRNAseq",5986,1335,0.116939525559639,"0","0","Neutrophils"
"14","BoneFlap_Cranio_scRNAseq",4286,898,0.209986000933271,"0","0","Neutrophils"
"15","BoneFlap_Cranio_scRNAseq",4336,1267,0.0461254612546125,"0","0","Neutrophils"
"16","BoneFlap_Cranio_scRNAseq",3493,738,0.0286286859433152,"0","0","Neutrophils"
"17","BoneFlap_Cranio_scRNAseq",7256,986,0.303197353914002,"0","0","Neutrophils"
"18","BoneFlap_Cranio_scRNAseq",1469,367,0,"0","0","Neutrophils"
"19","BoneFlap_Cranio_scRNAseq",1342,409,0,"0","0","Neutrophils"
"20","BoneFlap_Cranio_scRNAseq",536,350,0.186567164179104,"0","0","Neutrophils"
"21","BoneFlap_Cranio_scRNAseq",2507,804,0.159553250897487,"0","0","Neutrophils"
"22","BoneFlap_Cranio_scRNAseq",3343,914,0.0598265031408914,"0","0","Neutrophils"
"23","BoneFlap_Cranio_scRNAseq",3010,850,0,"0","0","Neutrophils"
"24","BoneFlap_Cranio_scRNAseq",4443,1090,0.0225073148773351,"0","0","Neutrophils"
"25","BoneFlap_Cranio_scRNAseq",4425,837,0.0225988700564972,"0","0","Neutrophils"
"26","BoneFlap_Cranio_scRNAseq",5565,998,0.0359389038634322,"0","0","Neutrophils"
"27","BoneFlap_Cranio_scRNAseq",3712,869,0.323275862068966,"0","0","Neutrophils"
"28","BoneFlap_Cranio_scRNAseq",5574,983,0.0538213132400431,"0","0","Neutrophils"
"29","BoneFlap_Cranio_scRNAseq",7928,1658,0.0630676084762866,"0","0","Neutrophils"
"30","BoneFlap_Cranio_scRNAseq",3849,744,0.103923096908288,"0","0","Neutrophils"
"31","BoneFlap_Cranio_scRNAseq",4338,1188,0.115260488704472,"0","0","Neutrophils"
"32","BoneFlap_Cranio_scRNAseq",4832,944,0.103476821192053,"0","0","Neutrophils"
"33","BoneFlap_Cranio_scRNAseq",1898,784,0.0526870389884088,"0","0","Neutrophils"
"34","BoneFlap_Cranio_scRNAseq",11844,1629,0.236406619385343,"0","0","Neutrophils"
"35","BoneFlap_Cranio_scRNAseq",2148,677,0.512104283054004,"0","0","Neutrophils"
"36","BoneFlap_Cranio_scRNAseq",4236,1049,1.109537299339,"0","0","Neutrophils"
"37","BoneFlap_Cranio_scRNAseq",3876,1081,0.0257997936016512,"0","0","Neutrophils"
"38","BoneFlap_Cranio_scRNAseq",2577,732,0.155219247186651,"0","0","Neutrophils"
"39","BoneFlap_Cranio_scRNAseq",3826,748,0.0261369576581286,"0","0","Neutrophils"
"40","BoneFlap_Cranio_scRNAseq",4734,1147,0.232361639205746,"0","0","Neutrophils"
"41","BoneFlap_Cranio_scRNAseq",1166,652,0,"0","0","Neutrophils"
"42","BoneFlap_Cranio_scRNAseq",4768,999,0,"0","0","Neutrophils"
"43","BoneFlap_Cranio_scRNAseq",4091,1184,0.24443901246639,"0","0","Neutrophils"
"44","BoneFlap_Cranio_scRNAseq",3588,970,0.167224080267559,"0","0","Neutrophils"
"45","BoneFlap_Cranio_scRNAseq",3879,893,0,"0","0","Neutrophils"
"46","BoneFlap_Cranio_scRNAseq",4317,869,0.0926569376882094,"0","0","Neutrophils"
"47","BoneFlap_Cranio_scRNAseq",4453,1183,0.022456770716371,"0","0","Neutrophils"
"48","BoneFlap_Cranio_scRNAseq",1825,596,0,"0","0","Neutrophils"
"49","BoneFlap_Cranio_scRNAseq",5256,1262,0.0380517503805175,"0","0","Neutrophils"
