"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Esd",0,1.13402868124167,0.889,0.518,0,"0","Esd"
"Ftl1",0,1.08339449983644,1,0.995,0,"0","Ftl1"
"Cstb",0,0.91548824323855,0.976,0.759,0,"0","Cstb"
"Hdc",0,-1.25183962652673,0.69,0.887,0,"0","Hdc"
"Il1b",0,-1.49148720619686,0.973,0.986,0,"0","Il1b"
"Lgals3",6.49120992544081e-313,1.07145653138638,0.88,0.515,8.58332688441039e-309,"0","Lgals3"
"Lmnb1",7.63564764839354e-302,-1.18637534903599,0.418,0.753,1.00966168854708e-297,"0","Lmnb1"
"Msrb1",8.56835520341084e-299,0.715145883367145,0.979,0.833,1.13299360854702e-294,"0","Msrb1"
"Aldoa",4.53213860832972e-290,0.704989195249577,0.973,0.795,5.99284688179439e-286,"0","Aldoa"
"Plaur",2.15315961899531e-286,-1.44902950790772,0.598,0.815,2.8471229641975e-282,"0","Plaur"
"Zfp36",2.24648347754891e-272,-1.19294256595805,0.704,0.862,2.97052510236292e-268,"0","Zfp36"
"Bri3",1.13043662120201e-268,0.834846144362419,0.863,0.485,1.49477634421542e-264,"0","Bri3"
"Ftl1-ps1",2.55294891357809e-268,0.825649139460302,0.853,0.497,3.37576434842431e-264,"0","Ftl1-ps1"
"Ctsb",1.39613732189949e-267,0.728083620212639,0.967,0.802,1.84611238074769e-263,"0","Ctsb"
"G0s2",5.81174244564012e-262,-1.40863369776887,0.724,0.873,7.68486703586993e-258,"0","G0s2"
"Bsg",1.18039558627678e-236,0.753793745286469,0.909,0.639,1.56083708373378e-232,"0","Bsg"
"Pim1",2.83435418056506e-229,-0.797578559946782,0.896,0.938,3.74786653296117e-225,"0","Pim1"
"Gapdh",7.57247934541639e-218,0.679107401590838,0.969,0.848,1.00130894384441e-213,"0","Gapdh"
"Fth1",1.167213476888e-215,0.621320192845148,1,1,1.543406380489e-211,"0","Fth1"
"Rnh1",2.24856767177481e-215,0.817038361437158,0.724,0.34,2.97328103238783e-211,"0","Rnh1"
"Cd63",5.28249850907592e-210,0.762000820973441,0.842,0.508,6.98504777855109e-206,"0","Cd63"
"Card19",8.83033684566398e-202,0.619331461607197,0.958,0.754,1.16763544110215e-197,"0","Card19"
"Dgat1",2.05379241069982e-200,-1.1932932076788,0.295,0.622,2.71572970466837e-196,"0","Dgat1"
"Ostf1",1.20226771121303e-196,0.592558832670634,0.943,0.778,1.58975859453699e-192,"0","Ostf1"
"Mif",1.82120292106255e-194,0.661563178662425,0.909,0.651,2.408176622521e-190,"0","Mif"
"Entpd1",3.60899472358351e-191,-0.852348902899689,0.639,0.79,4.77217372299447e-187,"0","Entpd1"
"Tpi1",8.88582048994672e-188,0.60672328827826,0.942,0.749,1.17497204338565e-183,"0","Tpi1"
"Ptgs2",2.96020528849709e-184,-1.05670066801683,0.577,0.796,3.9142794529797e-180,"0","Ptgs2"
"Socs3",6.85224349800881e-184,-1.23429861118835,0.394,0.69,9.06072157741705e-180,"0","Socs3"
"Smchd1",2.92756525584768e-182,-1.16167183470577,0.131,0.459,3.87111953780738e-178,"0","Smchd1"
"Ctsd",1.968340586417e-176,0.587483814231887,0.956,0.791,2.6027367574192e-172,"0","Ctsd"
