"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a9",0,4.72735314924918,0.991,0.819,0,"Neutrophils","S100a9"
"S100a8",0,4.672376860587,0.995,0.789,0,"Neutrophils","S100a8"
"Retnlg",0,4.26635817268535,0.63,0.183,0,"Neutrophils","Retnlg"
"Cxcl2",0,3.7143954326207,0.725,0.175,0,"Neutrophils","Cxcl2"
"Ngp",0,3.65957671392717,0.407,0.171,0,"Neutrophils","Ngp"
"Lcn2",0,3.46453115750925,0.713,0.13,0,"Neutrophils","Lcn2"
"Il1b",0,2.98692642666872,0.751,0.242,0,"Neutrophils","Il1b"
"Wfdc21",0,2.96412348283778,0.627,0.064,0,"Neutrophils","Wfdc21"
"Slpi",0,2.76698748613517,0.853,0.113,0,"Neutrophils","Slpi"
"Mmp9",0,2.69767252364965,0.802,0.049,0,"Neutrophils","Mmp9"
"Hdc",0,2.64605277387532,0.897,0.051,0,"Neutrophils","Hdc"
"Cxcr2",0,2.6240948888381,0.846,0.027,0,"Neutrophils","Cxcr2"
"G0s2",0,2.40202195770272,0.639,0.045,0,"Neutrophils","G0s2"
"Mmp8",0,2.34103726112995,0.456,0.058,0,"Neutrophils","Mmp8"
"Pglyrp1",0,2.31918831035874,0.694,0.165,0,"Neutrophils","Pglyrp1"
"Lrg1",0,2.27499974816729,0.714,0.046,0,"Neutrophils","Lrg1"
"Mxd1",0,2.1351830908515,0.909,0.309,0,"Neutrophils","Mxd1"
"Clec4e",0,2.12467840563769,0.741,0.116,0,"Neutrophils","Clec4e"
"Hp",0,2.12275887173241,0.814,0.163,0,"Neutrophils","Hp"
"Msrb1",0,2.07677163301034,0.953,0.421,0,"Neutrophils","Msrb1"
"Dusp1",0,2.07260177540364,0.833,0.513,0,"Neutrophils","Dusp1"
"Tnfaip2",0,1.98070561305508,0.78,0.232,0,"Neutrophils","Tnfaip2"
"Clec4d",0,1.97685153452512,0.747,0.132,0,"Neutrophils","Clec4d"
"Srgn",0,1.95179435416086,0.92,0.843,0,"Neutrophils","Srgn"
"Ifitm6",0,1.95066119515652,0.503,0.115,0,"Neutrophils","Ifitm6"
"S100a11",0,1.94498360254245,0.955,0.612,0,"Neutrophils","S100a11"
