"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"1","Brain_Cranio_scRNAseq",10341,3248,2.36920994101151,"0","0","Microglia"
"2","Brain_Cranio_scRNAseq",2737,1427,0.328827183047132,"0","0","Microglia"
"3","Brain_Cranio_scRNAseq",6305,2544,1.26883425852498,"0","0","Microglia"
"4","Brain_Cranio_scRNAseq",4540,2043,0.506607929515419,"0","0","Microglia"
"5","Brain_Cranio_scRNAseq",6277,2513,2.23036482396049,"0","0","Microglia"
"6","Brain_Cranio_scRNAseq",7122,2518,2.51333894973322,"0","0","Microglia"
"7","Brain_Cranio_scRNAseq",8441,2689,2.84326501599337,"0","0","Microglia"
"8","Brain_Cranio_scRNAseq",5134,2101,1.71406310868718,"0","0","Microglia"
"9","Brain_Cranio_scRNAseq",6452,2596,3.76627402355859,"0","0","Microglia"
"10","Brain_Cranio_scRNAseq",3865,1778,1.8111254851229,"0","0","Microglia"
"11","Brain_Cranio_scRNAseq",5641,2453,1.34727885126751,"0","0","Microglia"
"12","Brain_Cranio_scRNAseq",4012,1945,0.747756729810568,"0","0","Microglia"
"13","Brain_Cranio_scRNAseq",8711,2880,1.66456204798531,"0","0","Microglia"
"14","Brain_Cranio_scRNAseq",6314,2482,3.26259106746912,"0","0","Microglia"
"15","Brain_Cranio_scRNAseq",4774,2117,0.858818600754085,"0","0","Microglia"
"16","Brain_Cranio_scRNAseq",8657,2958,2.59905278964999,"0","0","Microglia"
"17","Brain_Cranio_scRNAseq",5986,2265,2.32208486468426,"0","0","Microglia"
"18","Brain_Cranio_scRNAseq",4901,2368,1.16302795347888,"0","0","Microglia"
"19","Brain_Cranio_scRNAseq",9151,2942,4.37110698284341,"0","0","Microglia"
"20","Brain_Cranio_scRNAseq",5394,2386,0.741564701520208,"0","0","Microglia"
"21","Brain_Cranio_scRNAseq",6130,2589,0.522022838499184,"0","0","Microglia"
"22","Brain_Cranio_scRNAseq",7049,2738,1.30514966661938,"0","0","Microglia"
"23","Brain_Cranio_scRNAseq",8601,2931,1.45331938146727,"0","0","Microglia"
"24","Brain_Cranio_scRNAseq",4643,2124,1.35688132672841,"0","0","Microglia"
"25","Brain_Cranio_scRNAseq",7610,3007,1.81340341655716,"0","0","Microglia"
"26","Brain_Cranio_scRNAseq",10425,3584,1.2757793764988,"0","0","Microglia"
"27","Brain_Cranio_scRNAseq",5569,2325,0.933740348356976,"0","0","Microglia"
"28","Brain_Cranio_scRNAseq",6315,2876,0.443388756927949,"0","0","Microglia"
"29","Brain_Cranio_scRNAseq",4825,2174,1.30569948186528,"0","0","Microglia"
"30","Brain_Cranio_scRNAseq",7550,2888,1.93377483443709,"0","0","Microglia"
"31","Brain_Cranio_scRNAseq",3154,1645,0.0634115409004439,"0","0","Microglia"
"32","Brain_Cranio_scRNAseq",8880,3226,0.574324324324324,"0","0","Microglia"
"33","Brain_Cranio_scRNAseq",7081,2638,1.38398531280893,"0","0","Microglia"
"34","Brain_Cranio_scRNAseq",5260,2390,1.57794676806084,"0","0","Microglia"
"35","Brain_Cranio_scRNAseq",5231,2325,1.83521315236093,"0","0","Microglia"
"36","Brain_Cranio_scRNAseq",9703,3151,3.11243945171596,"0","0","Microglia"
"37","Brain_Cranio_scRNAseq",4987,2244,2.40625626629236,"0","0","Microglia"
"38","Brain_Cranio_scRNAseq",4615,2005,2.27518959913326,"0","0","Microglia"
"39","Brain_Cranio_scRNAseq",6349,2557,1.26004095133092,"0","0","Microglia"
"40","Brain_Cranio_scRNAseq",5818,2665,1.75317978686834,"0","0","Microglia"
"41","Brain_Cranio_scRNAseq",9359,2932,2.95971791858104,"0","0","Microglia"
"42","Brain_Cranio_scRNAseq",3600,1903,0.583333333333333,"0","0","Microglia"
"43","Brain_Cranio_scRNAseq",5366,2325,2.01267238166232,"0","0","Microglia"
"44","Brain_Cranio_scRNAseq",4341,1968,1.4052061736927,"0","0","Microglia"
"45","Brain_Cranio_scRNAseq",7599,2868,3.71101460718516,"0","0","Microglia"
"46","Brain_Cranio_scRNAseq",8108,2924,3.02170695609275,"0","0","Microglia"
"47","Brain_Cranio_scRNAseq",11156,3059,3.2448906418071,"0","0","Microglia"
"48","Brain_Cranio_scRNAseq",6892,2741,2.08937899013349,"0","0","Microglia"
"49","Brain_Cranio_scRNAseq",10102,3043,1.10869134824787,"0","0","Microglia"
"50","Brain_Cranio_scRNAseq",7130,2671,1.89340813464236,"0","0","Microglia"
"51","Brain_Cranio_scRNAseq",8781,2809,3.32536157613028,"0","0","Microglia"
"52","Brain_Cranio_scRNAseq",5297,2160,1.81234661128941,"0","0","Microglia"
"53","Brain_Cranio_scRNAseq",2355,1486,0.169851380042463,"0","0","Microglia"
"54","Brain_Cranio_scRNAseq",6006,2310,0.666000666000666,"0","0","Microglia"
"55","Brain_Cranio_scRNAseq",7756,2730,2.75915420319752,"0","0","Microglia"
"56","Brain_Cranio_scRNAseq",6129,2407,2.03948441833904,"0","0","Microglia"
"57","Brain_Cranio_scRNAseq",14645,4048,3.10686241037897,"0","0","Microglia"
"58","Brain_Cranio_scRNAseq",10268,3125,2.65874561745228,"0","0","Microglia"
"59","Brain_Cranio_scRNAseq",5842,2384,2.05409106470387,"0","0","Microglia"
"60","Brain_Cranio_scRNAseq",7443,2713,2.90205562273277,"0","0","Microglia"
"61","Brain_Cranio_scRNAseq",4870,2133,1.49897330595483,"0","0","Microglia"
"62","Brain_Cranio_scRNAseq",5101,2275,1.35267594589296,"0","0","Microglia"
"63","Brain_Cranio_scRNAseq",6807,2648,4.01057734684883,"0","0","Microglia"
"64","Brain_Cranio_scRNAseq",5640,2399,1.71985815602837,"0","0","Microglia"
"65","Brain_Cranio_scRNAseq",5785,2509,2.05704407951599,"0","0","Microglia"
"66","Brain_Cranio_scRNAseq",8771,3063,2.08642116064303,"0","0","Microglia"
"67","Brain_Cranio_scRNAseq",5850,2471,1.48717948717949,"0","0","Microglia"
"68","Brain_Cranio_scRNAseq",5845,2650,1.89905902480753,"0","0","Microglia"
