"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"P2ry12",0,2.23250709781124,0.997,0.292,0,"0","P2ry12"
"Cst3",0,2.11247180501937,1,0.952,0,"0","Cst3"
"Cx3cr1",0,1.99709627257714,1,0.484,0,"0","Cx3cr1"
"Gpr34",0,1.95990798155024,0.992,0.261,0,"0","Gpr34"
"Sparc",0,1.95624885494857,0.999,0.318,0,"0","Sparc"
"Hexb",0,1.90493066361579,1,0.704,0,"0","Hexb"
"Tmem119",0,1.89820832571476,0.995,0.269,0,"0","Tmem119"
"Siglech",0,1.8951590108396,0.994,0.23,0,"0","Siglech"
"Rhob",0,1.7065493916211,0.988,0.463,0,"0","Rhob"
"Tgfbr1",0,1.64832249216126,0.986,0.43,0,"0","Tgfbr1"
"Olfml3",0,1.60396266660184,0.99,0.329,0,"0","Olfml3"
"Plxdc2",0,1.58587268899803,0.968,0.206,0,"0","Plxdc2"
"Csf1r",0,1.57531185646628,0.999,0.58,0,"0","Csf1r"
"Egr1",0,1.57461211626946,0.883,0.369,0,"0","Egr1"
"Cd81",0,1.55397575389509,0.997,0.384,0,"0","Cd81"
"Fcrls",0,1.53114741853288,0.987,0.307,0,"0","Fcrls"
"Zfhx3",0,1.5012930453952,0.965,0.314,0,"0","Zfhx3"
"Hpgd",0,1.47647399879379,0.827,0.102,0,"0","Hpgd"
"Arhgap5",0,1.44857451297605,0.94,0.3,0,"0","Arhgap5"
"Slco2b1",0,1.43553183340786,0.969,0.232,0,"0","Slco2b1"
"Kctd12",0,1.4263350211213,0.984,0.548,0,"0","Kctd12"
"Trem2",0,1.41003714400652,0.999,0.472,0,"0","Trem2"
"Glul",0,1.39578046311188,0.948,0.416,0,"0","Glul"
"Tanc2",0,1.39397436970379,0.91,0.179,0,"0","Tanc2"
"Ltc4s",0,1.3883010836511,0.901,0.203,0,"0","Ltc4s"
"Jun",0,1.38059539769286,0.968,0.745,0,"0","Jun"
"Rnase4",0,1.35766659398205,0.916,0.302,0,"0","Rnase4"
"Selplg",0,1.35173297017692,0.998,0.845,0,"0","Selplg"
"Ptgs1",0,1.35006283497182,0.945,0.265,0,"0","Ptgs1"
"Hpgds",0,1.33952319167925,0.967,0.303,0,"0","Hpgds"
"Itgb5",0,1.33197548543122,0.986,0.408,0,"0","Itgb5"
"Marcks",0,1.32227665481521,0.994,0.642,0,"0","Marcks"
"Lgmn",0,1.31176761431282,1,0.623,0,"0","Lgmn"
"Epb41l2",0,1.31024238634509,0.987,0.532,0,"0","Epb41l2"
"C1qc",0,1.30997974478387,1,0.564,0,"0","C1qc"
"Mef2c",0,1.30783862503946,0.975,0.376,0,"0","Mef2c"
"Serinc3",0,1.30743064333802,1,0.819,0,"0","Serinc3"
"Pmepa1",0,1.29638246700566,0.931,0.426,0,"0","Pmepa1"
"Vsir",0,1.29166009751442,0.993,0.666,0,"0","Vsir"
"Scoc",0,1.28629418372946,0.934,0.316,0,"0","Scoc"
"Cfh",0,1.27359070731641,0.933,0.239,0,"0","Cfh"
"C1qa",0,1.26959992568773,1,0.641,0,"0","C1qa"
"Frmd4a",0,1.25443155860751,0.948,0.322,0,"0","Frmd4a"
"Adgrg1",0,1.25328420330754,0.89,0.173,0,"0","Adgrg1"
"C1qb",0,1.24329951602784,1,0.641,0,"0","C1qb"
"Slc2a5",0,1.22525372373247,0.761,0.09,0,"0","Slc2a5"
"F11r",0,1.22419540591111,0.934,0.334,0,"0","F11r"
"Mertk",0,1.22136860637207,0.917,0.261,0,"0","Mertk"
"P2ry13",0,1.21792400054775,0.866,0.203,0,"0","P2ry13"
"Srgap2",0,1.2150200541664,0.957,0.401,0,"0","Srgap2"
"Golm1",0,1.21188114970652,0.918,0.358,0,"0","Golm1"
"Qk",0,1.19835679738132,0.98,0.584,0,"0","Qk"
"Sirpa",0,1.18483361269432,0.993,0.565,0,"0","Sirpa"
"Lair1",0,1.1846228552325,0.977,0.409,0,"0","Lair1"
"Mafb",0,1.17881100067901,0.983,0.442,0,"0","Mafb"
"Col27a1",0,1.17315645375322,0.783,0.108,0,"0","Col27a1"
"Sall1",0,1.17277958713145,0.827,0.154,0,"0","Sall1"
"Adap2",0,1.16507652720663,0.916,0.327,0,"0","Adap2"
"Lpcat2",0,1.15249740039143,0.981,0.478,0,"0","Lpcat2"
"Pou2f2",0,1.14898325331179,0.953,0.412,0,"0","Pou2f2"
"Nav3",0,1.14056909288079,0.808,0.153,0,"0","Nav3"
"Bin1",0,1.13375391525089,0.962,0.52,0,"0","Bin1"
"Ivns1abp",0,1.12977955388688,0.923,0.433,0,"0","Ivns1abp"
"Fam102b",0,1.11331020200517,0.777,0.21,0,"0","Fam102b"
"Serpine2",0,1.11054558772206,0.822,0.159,0,"0","Serpine2"
"Selenop",0,1.1052731536251,0.992,0.555,0,"0","Selenop"
"Ldhb",0,1.09855942093475,0.858,0.266,0,"0","Ldhb"
"Mef2a",0,1.09399392356441,0.969,0.588,0,"0","Mef2a"
"Rgs10",0,1.09302316462757,0.976,0.639,0,"0","Rgs10"
"Abhd12",0,1.09026547467266,0.963,0.432,0,"0","Abhd12"
"Sgk1",0,1.08115187242382,0.84,0.385,0,"0","Sgk1"
"Btg2",0,1.07384084766727,0.94,0.738,0,"0","Btg2"
"Rgs2",0,1.06976529669333,0.955,0.615,0,"0","Rgs2"
"Mtdh",0,1.06594113778658,0.973,0.679,0,"0","Mtdh"
"Ecscr",0,1.05740198645048,0.729,0.121,0,"0","Ecscr"
"Cttnbp2nl",0,1.04236169614495,0.863,0.313,0,"0","Cttnbp2nl"
"Tmcc3",0,1.03205912370157,0.818,0.21,0,"0","Tmcc3"
"Ctsd",0,1.02778209474517,1,0.917,0,"0","Ctsd"
"Nrip1",0,1.01146383539876,0.88,0.419,0,"0","Nrip1"
"Cyfip1",0,0.998692863869782,0.94,0.512,0,"0","Cyfip1"
"Scamp2",0,0.984855482162142,0.947,0.546,0,"0","Scamp2"
"Nav2",0,0.98219146002159,0.753,0.165,0,"0","Nav2"
"Basp1",0,0.980691996029354,0.983,0.491,0,"0","Basp1"
"Ccr5",0,0.978682216721079,0.902,0.479,0,"0","Ccr5"
"Abca9",0,0.978650574003312,0.708,0.137,0,"0","Abca9"
"Dst",0,0.977989292539432,0.821,0.232,0,"0","Dst"
"Ly86",0,0.957071048140892,0.998,0.559,0,"0","Ly86"
"Rasgrp3",0,0.952776779979053,0.701,0.129,0,"0","Rasgrp3"
"Lag3",0,0.946563998364695,0.744,0.219,0,"0","Lag3"
"Slc29a3",0,0.94621315513539,0.87,0.389,0,"0","Slc29a3"
"Fgd2",0,0.942261646794232,0.878,0.302,0,"0","Fgd2"
"Dock4",0,0.94133596743134,0.812,0.27,0,"0","Dock4"
"Pld4",0,0.941150933917157,0.962,0.48,0,"0","Pld4"
"Crybb1",0,0.941088696060991,0.729,0.173,0,"0","Crybb1"
"Pmp22",0,0.938845082540158,0.705,0.137,0,"0","Pmp22"
"Trf",0,0.932293250621445,0.946,0.401,0,"0","Trf"
"Ckb",0,0.91788125123228,0.927,0.401,0,"0","Ckb"
"Cebpa",0,0.915503346897954,0.767,0.307,0,"0","Cebpa"
"Pde3b",0,0.91157442248503,0.844,0.364,0,"0","Pde3b"
"St3gal6",0,0.911455320100273,0.755,0.227,0,"0","St3gal6"
"Itga6",0,0.911070503158298,0.836,0.327,0,"0","Itga6"
"Il6ra",0,0.908466227238475,0.896,0.424,0,"0","Il6ra"
