"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100a9",0,3.26524595566546,0.985,0.829,0,"Neutrophils","S100a9"
"S100a8",0,2.98962176220678,0.966,0.607,0,"Neutrophils","S100a8"
"G0s2",0,2.68951245679418,0.685,0.16,0,"Neutrophils","G0s2"
"Cxcl2",0,2.58931020962725,0.982,0.778,0,"Neutrophils","Cxcl2"
"Acod1",0,2.4433451930649,0.858,0.316,0,"Neutrophils","Acod1"
"Hdc",0,2.39282614511947,0.773,0.167,0,"Neutrophils","Hdc"
"Ccrl2",0,2.28741775512845,0.77,0.263,0,"Neutrophils","Ccrl2"
"Hcar2",0,2.24808352032551,0.812,0.247,0,"Neutrophils","Hcar2"
"Mxd1",0,2.14823684801514,0.868,0.386,0,"Neutrophils","Mxd1"
"Tnfaip2",0,2.0290874350104,0.764,0.366,0,"Neutrophils","Tnfaip2"
"Il1b",0,2.02035345499619,0.934,0.624,0,"Neutrophils","Il1b"
"Clec4e",0,1.97047262910222,0.94,0.486,0,"Neutrophils","Clec4e"
"Upp1",0,1.89107287770791,0.764,0.331,0,"Neutrophils","Upp1"
"Nfkbia",0,1.88459525909265,0.916,0.746,0,"Neutrophils","Nfkbia"
"Dusp1",0,1.86098925566199,0.8,0.415,0,"Neutrophils","Dusp1"
"Neat1",0,1.83463937007775,0.934,0.611,0,"Neutrophils","Neat1"
"Gadd45b",0,1.82132006507972,0.708,0.276,0,"Neutrophils","Gadd45b"
"Entpd1",0,1.80108865004685,0.643,0.235,0,"Neutrophils","Entpd1"
"Cd14",0,1.71947645945696,0.903,0.483,0,"Neutrophils","Cd14"
"Cd274",0,1.69876820656966,0.742,0.368,0,"Neutrophils","Cd274"
"Ier3",0,1.68503769534155,0.879,0.495,0,"Neutrophils","Ier3"
"Srgn",0,1.67408934373273,0.974,0.918,0,"Neutrophils","Srgn"
"Lilrb4a",0,1.60987400802585,0.653,0.242,0,"Neutrophils","Lilrb4a"
"Il1rn",0,1.57805426778401,0.873,0.483,0,"Neutrophils","Il1rn"
"Slpi",0,1.52498012047349,0.941,0.541,0,"Neutrophils","Slpi"
"Lilr4b",0,1.52304483384647,0.836,0.494,0,"Neutrophils","Lilr4b"
"Ptafr",0,1.50316179899713,0.762,0.402,0,"Neutrophils","Ptafr"
"Ccr1",0,1.4935493665988,0.744,0.403,0,"Neutrophils","Ccr1"
"Mcl1",0,1.44472332682724,0.972,0.842,0,"Neutrophils","Mcl1"
"Cd9",0,1.44400869974304,0.915,0.506,0,"Neutrophils","Cd9"
"Pim1",0,1.41652019190701,0.863,0.679,0,"Neutrophils","Pim1"
"Litaf",0,1.36941420440354,0.82,0.532,0,"Neutrophils","Litaf"
"Msrb1",0,1.28302700160793,0.797,0.538,0,"Neutrophils","Msrb1"
"Grina",0,1.26895191411959,0.92,0.649,0,"Neutrophils","Grina"
