"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","SingleR.labels"
"1","Galea_Cranio_scRNAseq",3992,1042,0.175350701402806,"0","0","Neutrophils"
"2","Galea_Cranio_scRNAseq",2560,632,0,"0","0","Neutrophils"
"3","Galea_Cranio_scRNAseq",2176,451,0.137867647058824,"0","0","Neutrophils"
"4","Galea_Cranio_scRNAseq",1090,352,0,"0","0","Neutrophils"
"5","Galea_Cranio_scRNAseq",1695,695,0,"0","0","Neutrophils"
"6","Galea_Cranio_scRNAseq",1341,228,0.223713646532438,"0","0","Neutrophils"
"7","Galea_Cranio_scRNAseq",1136,479,0,"0","0","Neutrophils"
"8","Galea_Cranio_scRNAseq",1708,514,0.351288056206089,"0","0","Neutrophils"
"9","Galea_Cranio_scRNAseq",1105,291,0,"0","0","Neutrophils"
"10","Galea_Cranio_scRNAseq",1401,665,0.0713775874375446,"0","0","Neutrophils"
"11","Galea_Cranio_scRNAseq",2111,651,0.0473709142586452,"0","0","Neutrophils"
"12","Galea_Cranio_scRNAseq",903,372,0,"0","0","Neutrophils"
"13","Galea_Cranio_scRNAseq",1760,622,0.397727272727273,"0","0","Neutrophils"
"14","Galea_Cranio_scRNAseq",1810,412,0.220994475138122,"0","0","Neutrophils"
"15","Galea_Cranio_scRNAseq",2161,703,0.1850994909764,"0","0","Neutrophils"
"16","Galea_Cranio_scRNAseq",2224,618,0,"0","0","Neutrophils"
"17","Galea_Cranio_scRNAseq",2137,596,0,"0","0","Neutrophils"
"18","Galea_Cranio_scRNAseq",1980,507,0.101010101010101,"0","0","Neutrophils"
"19","Galea_Cranio_scRNAseq",1089,332,0,"0","0","Neutrophils"
"20","Galea_Cranio_scRNAseq",1582,416,0.189633375474083,"0","0","Neutrophils"
"21","Galea_Cranio_scRNAseq",2638,782,0.0758150113722517,"0","0","Neutrophils"
"22","Galea_Cranio_scRNAseq",1533,556,0.130463144161774,"0","0","Neutrophils"
"23","Galea_Cranio_scRNAseq",1956,525,0.0511247443762781,"0","0","Neutrophils"
"24","Galea_Cranio_scRNAseq",1138,430,0,"0","0","Neutrophils"
"25","Galea_Cranio_scRNAseq",1521,521,0.394477317554241,"0","0","Neutrophils"
"26","Galea_Cranio_scRNAseq",775,361,0,"0","0","Neutrophils"
"27","Galea_Cranio_scRNAseq",1956,619,0.0511247443762781,"0","0","Neutrophils"
"28","Galea_Cranio_scRNAseq",1943,743,0.0514668039114771,"0","0","Neutrophils"
"29","Galea_Cranio_scRNAseq",1818,561,0.055005500550055,"0","0","Neutrophils"
"30","Galea_Cranio_scRNAseq",2008,793,0,"0","0","Neutrophils"
"31","Galea_Cranio_scRNAseq",2817,743,0.390486332978346,"0","0","Neutrophils"
"32","Galea_Cranio_scRNAseq",2833,709,0,"0","0","Neutrophils"
"33","Galea_Cranio_scRNAseq",1555,560,0,"0","0","Neutrophils"
"34","Galea_Cranio_scRNAseq",2596,647,0.0385208012326656,"0","0","Neutrophils"
"35","Galea_Cranio_scRNAseq",3150,929,0.126984126984127,"0","0","Neutrophils"
"36","Galea_Cranio_scRNAseq",2027,541,0,"0","0","Neutrophils"
"37","Galea_Cranio_scRNAseq",988,471,0,"0","0","Neutrophils"
"38","Galea_Cranio_scRNAseq",1462,433,0,"0","0","Neutrophils"
"39","Galea_Cranio_scRNAseq",2534,531,0.434096290449882,"0","0","Neutrophils"
"40","Galea_Cranio_scRNAseq",1483,514,0.337154416722859,"0","0","Neutrophils"
"41","Galea_Cranio_scRNAseq",2501,740,0.239904038384646,"0","0","Neutrophils"
"42","Galea_Cranio_scRNAseq",1952,700,0.153688524590164,"0","0","Neutrophils"
"43","Galea_Cranio_scRNAseq",2890,715,0.13840830449827,"0","0","Neutrophils"
"44","Galea_Cranio_scRNAseq",2917,786,0,"0","0","Neutrophils"
"45","Galea_Cranio_scRNAseq",2328,680,0.128865979381443,"0","0","Neutrophils"
"46","Galea_Cranio_scRNAseq",2233,599,0.0895656068069861,"0","0","Neutrophils"
"47","Galea_Cranio_scRNAseq",1794,551,0.167224080267559,"0","0","Neutrophils"
"48","Galea_Cranio_scRNAseq",1544,684,0,"0","0","Neutrophils"
"49","Galea_Cranio_scRNAseq",2704,512,0.11094674556213,"0","0","Neutrophils"
"50","Galea_Cranio_scRNAseq",1189,411,0.168208578637511,"0","0","Neutrophils"
"51","Galea_Cranio_scRNAseq",8103,1742,0.061705541157596,"0","0","Neutrophils"
"52","Galea_Cranio_scRNAseq",1874,672,0.0533617929562433,"0","0","Neutrophils"
