"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Esd",0,1.01424039621466,0.786,0.476,0,"0","Esd"
"Ftl1",0,1.00450471863542,0.999,0.991,0,"0","Ftl1"
"Ctsb",0,0.733538332162115,0.92,0.722,0,"0","Ctsb"
"Aldoa",1.45284057063419e-310,0.596280466501308,0.929,0.748,2.15310972567988e-306,"0","Aldoa"
"Cstb",2.39045956335088e-308,0.77827390250797,0.853,0.577,3.542661072886e-304,"0","Cstb"
"Fth1",1.29104603245714e-292,0.570340517505642,1,1,1.91333022010149e-288,"0","Fth1"
"Hdc",1.41223063742838e-292,-0.972883556640137,0.568,0.768,2.09292580466886e-288,"0","Hdc"
"Lcn2",1.02062196775998e-284,0.997363333429871,0.812,0.582,1.51256175622029e-280,"0","Lcn2"
"Lmnb1",2.19630053272428e-280,-1.07221739719876,0.223,0.557,3.25491738949739e-276,"0","Lmnb1"
"Ninj1",8.75263122644992e-279,0.60802766772585,0.905,0.679,1.29713994775988e-274,"0","Ninj1"
"Card19",3.89858658071572e-276,0.624301799725722,0.886,0.661,5.7777053126207e-272,"0","Card19"
"Bsg",1.76562770407939e-274,0.736792672244148,0.776,0.512,2.61666025744566e-270,"0","Bsg"
"Ftl1-ps1",3.0920571851516e-262,0.77328022417859,0.672,0.389,4.58242874839468e-258,"0","Ftl1-ps1"
"Actg1",1.04986115287927e-259,-0.806275589656655,0.87,0.927,1.55589422856707e-255,"0","Actg1"
"Bri3",2.39821758807303e-241,0.715413074200849,0.692,0.404,3.55415846552423e-237,"0","Bri3"
"mt-Co1",1.17028140602367e-229,-1.08789401420383,0.439,0.66,1.73435704372708e-225,"0","mt-Co1"
"Tpi1",3.9538443675324e-226,0.587489548133,0.844,0.614,5.85959735268302e-222,"0","Tpi1"
"Plaur",4.02661298873431e-222,-1.19045822747601,0.457,0.677,5.96744044930424e-218,"0","Plaur"
"Actb",7.31557805711214e-213,-0.732357409467191,0.963,0.974,1.08416866806402e-208,"0","Actb"
"Msrb1",5.56943556148236e-212,0.511311680776004,0.898,0.728,8.25390350211685e-208,"0","Msrb1"
"Mif",1.31861041947616e-198,0.58087995115361,0.777,0.519,1.95418064166366e-194,"0","Mif"
"Il1b",3.71294684215568e-198,-1.00241421510639,0.877,0.914,5.50258722007471e-194,"0","Il1b"
"S100a11",1.00896182023956e-195,-0.741370650259487,0.727,0.861,1.49528141759503e-191,"0","S100a11"
"Gapdh",1.00993602006083e-195,0.462812897471605,0.96,0.887,1.49672518173015e-191,"0","Gapdh"
"Cd63",1.49946059728943e-194,0.665981781342161,0.641,0.358,2.22220060518293e-190,"0","Cd63"
"mt-Co2",9.20411460606439e-194,-1.06485687636584,0.296,0.521,1.36404978461874e-189,"0","mt-Co2"
"Bnip3",8.50856982978418e-192,0.701161631729733,0.65,0.394,1.26097004877401e-187,"0","Bnip3"
"mt-Atp6",7.17543039734233e-181,-1.03703692830485,0.299,0.514,1.06339878488613e-176,"0","mt-Atp6"
"Dgat1",1.7062927165475e-177,-0.980624658435854,0.171,0.426,2.52872580592339e-173,"0","Dgat1"
"Lgals3",1.55345948345095e-174,0.458754225485091,0.701,0.409,2.30222695447431e-170,"0","Lgals3"
"Arpc3",6.87893961149294e-174,-0.63277732270689,0.63,0.792,1.01945885042325e-169,"0","Arpc3"
"Pgam1",2.34303315301694e-167,0.504294316159751,0.788,0.598,3.4723751327711e-163,"0","Pgam1"
"Ero1l",1.52312714932393e-165,0.628815470696565,0.742,0.511,2.25727443529807e-161,"0","Ero1l"
"mt-Cytb",1.57881595331231e-164,-0.978083810095953,0.207,0.427,2.33980524280884e-160,"0","mt-Cytb"
"Rps27a",6.31710978667231e-164,-0.856506285406907,0.458,0.61,9.36195670384837e-160,"0","Rps27a"
"Lrg1",9.37355057142021e-164,-1.2847225163303,0.086,0.297,1.38916019468447e-159,"0","Lrg1"
"Creg1",4.35603421346405e-161,0.93148798363833,0.43,0.232,6.45564270435372e-157,"0","Creg1"
"Entpd1",6.20061861862229e-161,-0.761499515460046,0.464,0.654,9.18931679279823e-157,"0","Entpd1"
"mt-Co3",8.04048009798123e-161,-0.899208760846096,0.231,0.458,1.19159915052082e-156,"0","mt-Co3"
"Stk17b",7.13324812320057e-154,-0.817095303451278,0.123,0.359,1.05714737185832e-149,"0","Stk17b"
"Slfn4",2.99131721821556e-147,-0.992565012316649,0.26,0.484,4.43313211739546e-143,"0","Slfn4"
"Cxcr2",1.20726893697716e-146,-0.947604364852761,0.171,0.387,1.78917256460016e-142,"0","Cxcr2"
"Tmed5",5.31230912927277e-145,-0.718037388462331,0.117,0.346,7.87284212958225e-141,"0","Tmed5"
"Prdx5",3.64028546186046e-144,0.40282943921145,0.952,0.876,5.3949030544772e-140,"0","Prdx5"
"G0s2",6.1777773919904e-144,-1.00417777048083,0.542,0.667,9.15546609492978e-140,"0","G0s2"
"Picalm",2.84032483361405e-143,-0.771412512267662,0.253,0.495,4.20936140341602e-139,"0","Picalm"
"mt-Nd4",9.17150448560538e-143,-0.836380410854872,0.173,0.392,1.35921696476672e-138,"0","mt-Nd4"
"Basp1",1.3448400209497e-142,0.446113869759479,0.843,0.646,1.99305291104746e-138,"0","Basp1"
"Mpeg1",3.14023646708062e-139,0.609388432620765,0.54,0.32,4.65383044421348e-135,"0","Mpeg1"
"Rnh1",1.08487691424073e-138,0.594716718921809,0.483,0.287,1.60778758690476e-134,"0","Rnh1"
"F10",1.22555294415803e-138,0.771215482181183,0.399,0.19,1.8162694632422e-134,"0","F10"
"Ctsd",8.15147609984819e-136,0.490178224509024,0.781,0.601,1.2080487579975e-131,"0","Ctsd"
"Mrpl33",2.94039734308313e-135,-0.687674049539487,0.282,0.523,4.35766886244919e-131,"0","Mrpl33"
"Socs3",3.44455537587911e-135,-0.860532809690695,0.302,0.53,5.10483106705285e-131,"0","Socs3"
"Ifitm1",5.58977274360296e-135,-0.826592980888412,0.654,0.735,8.28404320601959e-131,"0","Ifitm1"
"Zfp36",1.28557887338722e-134,-0.786607597407043,0.596,0.745,1.90522789035986e-130,"0","Zfp36"
"Psap",1.74847640719831e-134,0.645767863995764,0.628,0.404,2.5912420354679e-130,"0","Psap"
"Slpi",3.7248587992957e-134,0.469240760629634,0.971,0.879,5.52024074055623e-130,"0","Slpi"
"Ifitm3",8.06901448370816e-134,-0.738919773997631,0.621,0.745,1.19582794648555e-129,"0","Ifitm3"
"Hmox1",2.01157502082946e-132,0.53900698474925,0.541,0.301,2.98115418086926e-128,"0","Hmox1"
"Cd9",1.06456144592845e-130,0.391744544673862,0.941,0.854,1.57768006286597e-126,"0","Cd9"
"Slc31a2",1.15627151189891e-130,0.605889353759781,0.456,0.24,1.71359438063419e-126,"0","Slc31a2"
"Cytip",5.18715993712506e-130,-0.743240685716952,0.128,0.341,7.68737102681934e-126,"0","Cytip"
"Ubb",2.33301484463481e-128,0.315636162933843,0.968,0.927,3.45752799974879e-124,"0","Ubb"
"Smchd1",1.35328418053805e-127,-0.737321878187324,0.072,0.261,2.00556715555739e-123,"0","Smchd1"
"Ostf1",4.27896508605426e-126,0.431092501106486,0.797,0.663,6.34142625753241e-122,"0","Ostf1"
"Zdhhc18",1.19765119633725e-123,0.608646153090463,0.428,0.239,1.7749190729718e-119,"0","Zdhhc18"
"Sqstm1",1.12081480749788e-122,0.543811647666236,0.594,0.402,1.66104754471186e-118,"0","Sqstm1"
"P4ha1",5.7950312449644e-119,0.621445376293215,0.465,0.268,8.58823630503725e-115,"0","P4ha1"
"Sema4d",1.67770186032805e-118,0.512109271651195,0.551,0.341,2.48635415700617e-114,"0","Sema4d"
"Bnip3l",4.0375947448024e-116,0.554951148911476,0.488,0.315,5.98371541179716e-112,"0","Bnip3l"
"Kmt5a",4.95290143707618e-115,0.554992688139474,0.41,0.227,7.34019992974689e-111,"0","Kmt5a"
"Btg2",2.40272935010375e-114,-0.761555769583226,0.35,0.551,3.56084489685376e-110,"0","Btg2"
"Actr3",3.18668159989885e-114,-0.56836065926832,0.327,0.538,4.7226621310501e-110,"0","Actr3"
"Rps24",7.16836788204308e-113,-1.16862784675101,0.306,0.44,1.06235212011878e-108,"0","Rps24"
"Tmsb4x",2.62283758337201e-111,-0.471190505173516,0.87,0.907,3.88704529855732e-107,"0","Tmsb4x"
"Osm",4.70632754651815e-111,-0.870499506902187,0.109,0.288,6.97477742393989e-107,"0","Osm"
"Il1r2",3.9161118154258e-110,-0.702296181100649,0.482,0.626,5.80367771046104e-106,"0","Il1r2"
"Egr1",2.85566800635002e-109,-0.805857874393983,0.164,0.356,4.23209998541073e-105,"0","Egr1"
"Sub1",4.46702382942303e-107,-0.609470621155689,0.23,0.443,6.62012931520493e-103,"0","Sub1"
"Rps21",1.10710114862036e-105,-0.784869154866117,0.27,0.429,1.64072390225537e-101,"0","Rps21"
"Sod2",5.49046355119015e-104,0.434242593955547,0.743,0.559,8.1368669828638e-100,"0","Sod2"
"Rps9",2.95604719575691e-103,-0.478813572865843,0.671,0.774,4.38086194411174e-99,"0","Rps9"
"Ldha",3.21425358513603e-103,0.367946739727357,0.859,0.719,4.7635238131716e-99,"0","Ldha"
"Pim1",4.60962379014177e-103,-0.577434596618819,0.788,0.866,6.83146245699011e-99,"0","Pim1"
"Atp6v0e",9.40217338710978e-103,0.429400884674239,0.727,0.591,1.39340209596967e-98,"0","Atp6v0e"
"Cd52",1.01604214726941e-102,-0.455926981145169,0.704,0.812,1.50577446225327e-98,"0","Cd52"
"Rpsa",1.03905396547852e-102,-1.14387579924665,0.141,0.283,1.53987797683916e-98,"0","Rpsa"
"Ezr",1.92168064168092e-102,0.573047646883498,0.498,0.351,2.84793071097112e-98,"0","Ezr"
"Fcgr4",1.12218254405305e-101,-0.672585512770201,0.153,0.342,1.66307453028662e-97,"0","Fcgr4"
"Hcls1",1.53041486493699e-100,-0.498390723648639,0.154,0.352,2.26807482983662e-96,"0","Hcls1"
"Ctsz",5.21285090077434e-100,0.426930438845169,0.7,0.512,7.72544503494758e-96,"0","Ctsz"
"Gadd45b",1.03471326770086e-99,0.308186861358581,0.81,0.617,1.53344506273268e-95,"0","Gadd45b"
"Rpl35a",7.51208397163977e-99,-0.596760798144964,0.533,0.643,1.11329084459701e-94,"0","Rpl35a"
"Txn1",7.94624114111407e-99,0.43772507450804,0.783,0.667,1.17763293711311e-94,"0","Txn1"
"Rilpl2",1.49927919815164e-98,0.57409604801051,0.353,0.19,2.22193177166073e-94,"0","Rilpl2"
"Ltb4r1",4.16113096799635e-98,-0.643351631879244,0.156,0.346,6.16679609457059e-94,"0","Ltb4r1"
"Ly6e",1.07275939290007e-96,-0.708780873884333,0.188,0.37,1.5898294202779e-92,"0","Ly6e"
"Sell",2.89454466301111e-96,-0.674163257491969,0.139,0.318,4.28971519058246e-92,"0","Sell"
"Lamp1",1.56767277874794e-94,0.483859091014751,0.545,0.352,2.32329105810444e-90,"0","Lamp1"
"Fgl2",3.52798795772032e-94,-0.785224966554534,0.106,0.27,5.22847815334152e-90,"0","Fgl2"
"Rpl6",8.92293615700707e-94,-0.835845265421596,0.27,0.35,1.32237913846845e-89,"0","Rpl6"
"Ptgs2",1.27197625947105e-93,-0.713149368361416,0.401,0.559,1.8850688165361e-89,"0","Ptgs2"
"Rpl13",2.31779375854139e-93,-0.886111475091023,0.316,0.407,3.43497035015833e-89,"0","Rpl13"
"Il1rn",3.86159598963841e-93,0.33524342951551,0.92,0.806,5.72288525664412e-89,"0","Il1rn"
"Rps13",5.06698342814533e-93,-0.660382015541114,0.392,0.541,7.50926944051137e-89,"0","Rps13"
"Amdhd2",1.52462843105929e-92,0.497368722260043,0.353,0.198,2.25949933482987e-88,"0","Amdhd2"
"Rps23",2.71140542225365e-92,-0.745804161640789,0.128,0.273,4.0183028357799e-88,"0","Rps23"
"Rpl11",5.58284846715277e-92,-0.824376398744441,0.237,0.343,8.2737814283204e-88,"0","Rpl11"
"Gm47428",1.57632611151792e-91,0.496060572257735,0.262,0.123,2.33611529726956e-87,"0","Gm47428"
"Rpl22",3.83045918140264e-91,-0.76001251397884,0.138,0.281,5.67674050683872e-87,"0","Rpl22"
"Retnlg",3.76716255726809e-90,-1.48664320263581,0.17,0.324,5.58293490987131e-86,"0","Retnlg"
"Coro1a",1.08148404775163e-89,-0.593308909841694,0.318,0.492,1.60275935876792e-85,"0","Coro1a"
"Cd68",1.2412844371336e-89,0.466776177501073,0.545,0.372,1.83958353583199e-85,"0","Cd68"
"Rps8",3.72725612912086e-89,-0.755862384169845,0.378,0.435,5.52379358335712e-85,"0","Rps8"
"Fnip2",6.43095285440849e-89,0.528662387463184,0.273,0.119,9.53067213023339e-85,"0","Fnip2"
"Chil1",1.19556091434486e-88,0.578399388998441,0.445,0.265,1.77182127505908e-84,"0","Chil1"
"Pgk1",1.66821468670854e-88,0.40887079573333,0.677,0.503,2.47229416570206e-84,"0","Pgk1"
"Csrnp1",2.82580220000474e-87,-0.583090986171492,0.219,0.393,4.18783886040703e-83,"0","Csrnp1"
"Rplp0",2.85386417173229e-87,-0.836737942725966,0.302,0.403,4.22942670250725e-83,"0","Rplp0"
"Eno1",1.28545740281681e-86,0.331555428117788,0.831,0.706,1.90504787097451e-82,"0","Eno1"
"Hilpda",3.48944519676176e-86,0.491568840920849,0.502,0.307,5.17135778160093e-82,"0","Hilpda"
"Rpl39",5.43940730435629e-86,-0.721279504821482,0.353,0.483,8.06120162505603e-82,"0","Rpl39"
"Glrx",1.11074654816357e-85,-0.585647586927264,0.27,0.457,1.64612638437841e-81,"0","Glrx"
"Cox6c",2.17881631825673e-85,-0.551179894661646,0.103,0.262,3.22900578365647e-81,"0","Cox6c"
"Rpl19",9.34373183607055e-85,-0.732442973386976,0.387,0.417,1.38474105810566e-80,"0","Rpl19"
"Rhoa",1.80876422109144e-84,0.339141900921302,0.825,0.74,2.68058857565751e-80,"0","Rhoa"
"Rps15a",9.76171549670977e-84,-0.836087480196511,0.269,0.341,1.44668623661239e-79,"0","Rps15a"
"Pkm",4.2761957062285e-82,0.285498071645273,0.922,0.852,6.33732203663064e-78,"0","Pkm"
"Fam107b",1.11762824834114e-81,-0.610826071654745,0.223,0.406,1.65632506404157e-77,"0","Fam107b"
"Rps29",3.73455976475862e-81,-0.575009622787908,0.619,0.685,5.53461757137228e-77,"0","Rps29"
"Rpl30",1.37094245069779e-80,-0.693571144625311,0.402,0.492,2.03173671193412e-76,"0","Rpl30"
"Tpt1",4.86027630582164e-80,-0.346702195072848,0.769,0.833,7.20292948522767e-76,"0","Tpt1"
"Slc31a1",1.27414414888909e-79,0.457458495450907,0.396,0.238,1.88828162865364e-75,"0","Slc31a1"
"Ccl6",3.01632977628181e-79,-0.7672586836442,0.276,0.437,4.47020072844965e-75,"0","Ccl6"
"Lrrfip2",8.34477005786583e-79,0.392634563298992,0.543,0.379,1.23669492257572e-74,"0","Lrrfip2"
"Hspa8",9.2060301896316e-78,-0.650439646668166,0.27,0.427,1.3643336741034e-73,"0","Hspa8"
"Trem1",2.16392935194894e-77,-0.619792283496932,0.418,0.548,3.20694329958833e-73,"0","Trem1"
"Rpl38",4.46580489070398e-77,-0.679984204934339,0.354,0.442,6.6183228480233e-73,"0","Rpl38"
"Ifi27l2a",1.03784833812858e-76,-0.89754681685109,0.21,0.362,1.53809123710655e-72,"0","Ifi27l2a"
"Junb",1.86464962919493e-76,-0.484954150693309,0.816,0.895,2.76341075046688e-72,"0","Junb"
"Samhd1",6.20455951258352e-76,-0.538576494418655,0.403,0.58,9.19515719764877e-72,"0","Samhd1"
"Cd274",9.02180356433276e-76,0.32022423804996,0.815,0.669,1.33703128823411e-71,"0","Cd274"
"Gabarap",1.54412684003706e-75,0.263510279780632,0.904,0.841,2.28839597693492e-71,"0","Gabarap"
"Ccrl2",2.40703086828302e-75,0.289486167504282,0.835,0.682,3.56721974679543e-71,"0","Ccrl2"
"Tmem38b",1.81896681992323e-74,0.411027879459492,0.47,0.308,2.69570882712622e-70,"0","Tmem38b"
"Rps11",3.39153556668393e-74,-0.754991559315176,0.319,0.392,5.02625570982559e-70,"0","Rps11"
"Fam162a",3.62518041376963e-74,0.508385926920712,0.419,0.271,5.37251737320659e-70,"0","Fam162a"
"Gmfg",7.032008772429e-74,-0.44289531824738,0.365,0.545,1.04214370007398e-69,"0","Gmfg"
"Rps20",1.53106605634843e-73,-0.827295911070925,0.234,0.319,2.26903989550837e-69,"0","Rps20"
"Ccdc126",2.69543484386928e-72,0.453005066157176,0.388,0.225,3.99463443861428e-68,"0","Ccdc126"
"Egln3",3.39331114888477e-72,0.456497558944848,0.327,0.181,5.02888712264722e-68,"0","Egln3"
"Ppia",1.4716335993576e-71,-0.655314814511327,0.228,0.316,2.18096099424797e-67,"0","Ppia"
"Rplp1",3.71574589286473e-71,-0.637443003836546,0.132,0.271,5.50673541322553e-67,"0","Rplp1"
"Atp6v1g1",1.11735468995098e-70,0.329628203071848,0.697,0.58,1.65591965050736e-66,"0","Atp6v1g1"
"Npc2",2.21060450007605e-70,0.334283138793368,0.544,0.36,3.27611586911271e-66,"0","Npc2"
"Rps5",2.37319262312652e-70,-0.70304514210687,0.319,0.367,3.51707146747351e-66,"0","Rps5"
"Irak3",4.43000456186215e-70,0.423165595224111,0.363,0.221,6.56526676067971e-66,"0","Irak3"
"Plgrkt",5.88900385340761e-70,0.398493199403085,0.501,0.366,8.72750371075007e-66,"0","Plgrkt"
"Raf1",8.55631027783999e-70,0.431784703923076,0.278,0.144,1.26804518317589e-65,"0","Raf1"
"Apbb1ip",9.37603155594855e-70,0.407920779774639,0.411,0.283,1.38952787659158e-65,"0","Apbb1ip"
"Rps3a1",1.28550220403149e-69,-0.573410192866213,0.399,0.419,1.90511426637467e-65,"0","Rps3a1"
"Pgd",1.65349685928011e-69,0.462028424248894,0.279,0.163,2.45048234545312e-65,"0","Pgd"
"Srgn",3.12822079565353e-69,-0.485748907503786,0.978,0.966,4.63602321915853e-65,"0","Srgn"
"Rps3",3.21743068837656e-69,-0.556108989334118,0.389,0.451,4.76823228017407e-65,"0","Rps3"
"Eif4ebp1",5.44310037406206e-69,0.449260856803418,0.348,0.224,8.06667475435997e-65,"0","Eif4ebp1"
"Il1f9",1.36102776733922e-68,0.495908239412916,0.502,0.351,2.01704315119672e-64,"0","Il1f9"
"Rest",1.64352565665661e-68,0.436986984740209,0.369,0.236,2.4357050231651e-64,"0","Rest"
"Gsn",1.9567291828941e-68,0.462446410572057,0.365,0.242,2.89987264904906e-64,"0","Gsn"
"Atp6v1e1",3.78177867781435e-68,0.343486478232216,0.721,0.599,5.60459600052087e-64,"0","Atp6v1e1"
"Tmem189",4.32059271536393e-68,0.350598619964731,0.607,0.457,6.40311840416934e-64,"0","Tmem189"
"Rpl32",4.3451714466288e-68,-0.740827536163835,0.151,0.254,6.43954408390387e-64,"0","Rpl32"
"Rpl9",4.87355410862099e-68,-0.51608898551601,0.555,0.605,7.2226071889763e-64,"0","Rpl9"
"Myl6",9.81536149559235e-68,-0.360473952810214,0.607,0.7,1.45463657364679e-63,"0","Myl6"
"Ier2",1.43602029539693e-67,-0.506525119057727,0.26,0.434,2.12818207777825e-63,"0","Ier2"
"Tpd52",2.03386952876718e-66,-0.433642232216064,0.67,0.751,3.01419464163296e-62,"0","Tpd52"
"Lrrc25",3.23108890252395e-66,0.392726229677261,0.536,0.401,4.7884737535405e-62,"0","Lrrc25"
"Fosl2",1.38355292510102e-64,-0.479369978429002,0.268,0.433,2.05042543499971e-60,"0","Fosl2"
"Cux1",1.90188921728877e-64,-0.444060374851335,0.134,0.281,2.81859982002195e-60,"0","Cux1"
"Gns",2.44136802690889e-64,0.438434076276606,0.258,0.144,3.61810741587897e-60,"0","Gns"
"Ifitm2",2.68269564980042e-64,-0.379092948609497,0.817,0.855,3.97575495300422e-60,"0","Ifitm2"
"Rpl34",5.07081270106658e-64,-0.559338359582179,0.355,0.43,7.51494442298067e-60,"0","Rpl34"
"Cox17",6.96596799012152e-64,-0.435517248176382,0.575,0.71,1.03235645613601e-59,"0","Cox17"
"Capg",2.05584284423872e-63,0.363833114388046,0.477,0.308,3.04675909516178e-59,"0","Capg"
"Taldo1",2.35059847309864e-63,0.429237612795056,0.561,0.438,3.48358693713219e-59,"0","Taldo1"
"Cst3",2.40237934356716e-63,-0.806103538743167,0.294,0.427,3.56032618716654e-59,"0","Cst3"
"Sgpl1",2.61753654139201e-63,0.398405927570987,0.377,0.245,3.87918915434297e-59,"0","Sgpl1"
"Slc25a3",3.60093730836088e-63,-0.399450411881445,0.245,0.412,5.33658909099082e-59,"0","Slc25a3"
"Ndel1",7.3698261348788e-63,-0.491185307232932,0.309,0.462,1.09220823318904e-58,"0","Ndel1"
"Sp100",9.47623456922184e-63,-0.433128533615572,0.156,0.307,1.40437796315868e-58,"0","Sp100"
"Rpl36",1.5509309238246e-62,-0.612748532868563,0.264,0.337,2.29847962910806e-58,"0","Rpl36"
"Npepps",2.53717097868563e-62,0.382511221762444,0.373,0.229,3.7600873904121e-58,"0","Npepps"
"Rps2",3.17374016506028e-62,-0.603996162842153,0.37,0.408,4.70348292461933e-58,"0","Rps2"
"Rpl27a",1.71772792028351e-61,-0.543267551241166,0.375,0.435,2.54567277786017e-57,"0","Rpl27a"
"Thbs1",1.78581555059124e-61,-0.682463581797014,0.375,0.488,2.64657864597622e-57,"0","Thbs1"
"Tnfrsf1b",2.28638789098847e-61,0.327283551921817,0.619,0.474,3.38842685444492e-57,"0","Tnfrsf1b"
"Atp6ap2",2.79549159283443e-61,0.396011652096953,0.355,0.236,4.14291854058063e-57,"0","Atp6ap2"
"Mbd2",2.80500973470997e-61,-0.402907901088259,0.178,0.332,4.15702442684017e-57,"0","Mbd2"
"Dnajb6",6.7330699405505e-61,-0.380707045065291,0.169,0.32,9.97840965189584e-57,"0","Dnajb6"
"Ucp2",3.76846295122771e-60,-0.538577806104773,0.142,0.275,5.58486209371947e-56,"0","Ucp2"
"Alkbh5",8.83675737379723e-60,0.360836413742984,0.461,0.326,1.30960744279675e-55,"0","Alkbh5"
"Gpi1",1.46168878645468e-59,0.445595696736905,0.45,0.317,2.16622278152583e-55,"0","Gpi1"
"1810058I24Rik",2.33382999912719e-59,0.37418910974004,0.407,0.3,3.4587360587065e-55,"0","1810058I24Rik"
"Xbp1",1.46146502794764e-58,-0.493826666525233,0.153,0.298,2.16589117141841e-54,"0","Xbp1"
"Fcgr3",4.10790063716482e-58,-0.371190143191106,0.447,0.603,6.08790874427826e-54,"0","Fcgr3"
"Rpl26",4.22988868850156e-58,-0.562088162886483,0.158,0.27,6.26869503635931e-54,"0","Rpl26"
"Cxcl3",6.78144437788712e-58,-0.824822594212602,0.436,0.529,1.00501005680287e-53,"0","Cxcl3"
"Oasl2",1.45124778045854e-57,-0.504184166342415,0.314,0.456,2.15074921063955e-53,"0","Oasl2"
"Cd300ld",5.09687965751698e-57,-0.502452786256046,0.165,0.305,7.55357565244017e-53,"0","Cd300ld"
"Ubap1",5.98899306471027e-57,0.388848532862313,0.31,0.187,8.87568772190062e-53,"0","Ubap1"
"Rpl18",8.48823118452911e-57,-0.369262098128097,0.531,0.484,1.25795586154721e-52,"0","Rpl18"
"Isg20",1.1507059556081e-56,-0.523739848218495,0.295,0.43,1.70534622621121e-52,"0","Isg20"
"Rps16",1.47254188308916e-56,-0.474465318285816,0.517,0.567,2.18230707073814e-52,"0","Rps16"
"Fos",1.57286179810651e-56,-0.610701181584775,0.283,0.427,2.33098118479385e-52,"0","Fos"
"Cd24a",2.78422130874866e-56,0.277581236391464,0.656,0.501,4.12621597956551e-52,"0","Cd24a"
"Gng12",4.8094777067927e-56,0.377053101384955,0.361,0.253,7.12764596146679e-52,"0","Gng12"
"Prkar1a",4.94706664775901e-56,-0.325448047579884,0.297,0.46,7.33155277197885e-52,"0","Prkar1a"
"Rnf130",6.26622393064976e-56,0.355913050305025,0.327,0.228,9.28654386522294e-52,"0","Rnf130"
"Rps10",4.93782514908234e-55,-0.480240565073064,0.425,0.478,7.31785687094003e-51,"0","Rps10"
"Rpl37a",7.13046984685994e-55,-0.522425936118811,0.488,0.529,1.05673563130464e-50,"0","Rpl37a"
"Bax",8.17278013455059e-55,0.38349616815054,0.307,0.208,1.2112060159404e-50,"0","Bax"
"Hcst",1.30035326039896e-54,-0.457095582818275,0.138,0.271,1.92712353191126e-50,"0","Hcst"
"Ptma",2.86178217039893e-54,-0.682883932771947,0.175,0.276,4.24116117653122e-50,"0","Ptma"
"Rpl35",6.04285091224386e-54,-0.572772136224385,0.186,0.262,8.9555050519454e-50,"0","Rpl35"
"Rpl41",9.69987606428901e-54,-0.386486385369926,0.822,0.81,1.43752163272763e-49,"0","Rpl41"
"Pfn1",1.77947541665169e-53,-0.337698630782865,0.624,0.699,2.6371825674778e-49,"0","Pfn1"
"Tmsb10",5.16202765399015e-53,-0.869976802591967,0.301,0.299,7.6501249832134e-49,"0","Tmsb10"
"Zyx",1.53525475101639e-52,-0.412701981859312,0.186,0.329,2.27524754100629e-48,"0","Zyx"
"Sec61b",1.63744608109843e-52,-0.426567426314417,0.164,0.297,2.42669509218788e-48,"0","Sec61b"
"Jun",2.4426895426015e-52,0.251783065788869,0.728,0.594,3.62006590213543e-48,"0","Jun"
"Rhoh",3.73283921692669e-52,-0.472041719022925,0.147,0.274,5.53206771948535e-48,"0","Rhoh"
"Rpl28",4.21254150780794e-52,-0.518122409509409,0.219,0.305,6.24298651457136e-48,"0","Rpl28"
"Wfdc17",5.02686345362116e-52,-0.619904675947669,0.56,0.642,7.44981163826655e-48,"0","Wfdc17"
"Plk3",5.4333603275086e-52,-0.542089208379559,0.184,0.306,8.05224000536775e-48,"0","Plk3"
"Rpl27",2.16422160697073e-51,-0.469176645580987,0.17,0.287,3.20737642153063e-47,"0","Rpl27"
"Rps7",9.77345136871708e-51,-0.596206312939598,0.196,0.285,1.44842549284387e-46,"0","Rps7"
"Bhlhe40",1.25233177564625e-50,0.347380759577911,0.454,0.32,1.85595569150775e-46,"0","Bhlhe40"
"Mcemp1",3.77578660159231e-50,-0.412279418535292,0.304,0.452,5.59571574355981e-46,"0","Mcemp1"
"Acod1",2.04719555935503e-49,-0.310412123091707,0.842,0.794,3.03394381896415e-45,"0","Acod1"
"Slc15a3",2.44992998654841e-49,-0.384744444102152,0.502,0.633,3.63079624006474e-45,"0","Slc15a3"
"Chd7",4.57287660866957e-49,-0.445279643847551,0.263,0.405,6.77700313404831e-45,"0","Chd7"
"Gnb1",5.65540441452022e-49,0.307245175687694,0.53,0.426,8.38130934231897e-45,"0","Gnb1"
"Surf4",9.87244012590156e-49,0.336214093695172,0.307,0.208,1.46309562665861e-44,"0","Surf4"
"Rpl29",1.06795989059847e-48,-0.487654494554388,0.234,0.313,1.58271655786693e-44,"0","Rpl29"
"H2-T22",1.30966366964303e-48,0.33536158664073,0.315,0.255,1.94092155841097e-44,"0","H2-T22"
"Selenok",2.22070690291248e-48,-0.360478744223646,0.407,0.557,3.29108763011629e-44,"0","Selenok"
"Cdc34",2.23720113806686e-48,0.325625051174942,0.262,0.174,3.31553208661509e-44,"0","Cdc34"
"Crlf2",2.35230168848802e-48,-0.31391451179863,0.161,0.291,3.48611110233925e-44,"0","Crlf2"
"Ywhag",4.58755859451434e-48,0.343784143633188,0.271,0.18,6.79876183707025e-44,"0","Ywhag"
